town_id,town,elec,gas,cable,elec_2005,gas_2005,cable_2005
116,GROVELAND,Municipal,National Grid,Comcast,Municipal,KeySpan,Comcast
117,HADLEY,WMECO,Berkshire Gas,Charter,WMECO,Berkshire Gas,Charter
118,HALIFAX,National Grid,Bay State,Comcast,National Grid,Bay State,Adelphia
119,HAMILTON,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
120,HAMPDEN,National Grid,Bay State,Charter,National Grid,Bay State,Charter
121,HANCOCK,National Grid; WMECO,None,None,National Grid,None,None
122,HANOVER,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
123,HANSON,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
124,HARDWICK,National Grid,None,Comcast,National Grid,None,Comcast
125,HARVARD,National Grid,National Grid,Charter,National Grid,KeySpan,Charter
126,HARWICH,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
127,HATFIELD,WMECO,Berkshire Gas,Comcast,WMECO,Berkshire Gas,Comcast
128,HAVERHILL,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
129,HAWLEY,National Grid,None,None,National Grid,None,None
130,HEATH,National Grid,None,None,National Grid,None,None
131,HINGHAM,Municipal,National Grid,Comcast,Municipal,KeySpan,Comcast
132,HINSDALE,WMECO,None,Charter,WMECO,None,Charter
133,HOLBROOK,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
134,HOLDEN,Municipal,NSTAR,Charter,Municipal,NSTAR,Charter
135,HOLLAND,National Grid,None,Cox,National Grid,None,Cox
136,HOLLISTON,NSTAR,NSTAR,Comcast; Verizon,NSTAR,KeySpan; NSTAR,Comcast
137,HOLYOKE,Municipal,Municipal,Comcast,Municipal,Municipal,Comcast
138,HOPEDALE,National Grid,NSTAR,Comcast,National Grid,NSTAR,Comcast
139,HOPKINTON,NSTAR,NSTAR,Comcast; Verizon,NSTAR,NSTAR,Comcast
140,HUBBARDSTON,National Grid,None,Charter,National Grid,None,Charter
141,HUDSON,Municipal,NSTAR,Comcast; RCN,Municipal,KeySpan; NSTAR,Comcast
142,HULL,Municipal,National Grid,Comcast,Municipal,KeySpan,Comcast
143,HUNTINGTON,WMECO,None,Comcast,WMECO,None,Comcast
144,IPSWICH,Municipal,National Grid,Comcast; Verizon,Municipal,KeySpan,Comcast
145,KINGSTON,NSTAR,NSTAR,Comcast,NSTAR,NSTAR,Adelphia
146,LAKEVILLE,Municipal,Bay State,Comcast,NSTAR,Bay State,Comcast
147,LANCASTER,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
148,LANESBOROUGH,WMECO,Berkshire Gas,Charter,WMECO,Berkshire Gas,Charter
149,LAWRENCE,National Grid,Bay State,Comcast; Verizon,National Grid,Bay State,Comcast
150,LEE,WMECO,Berkshire Gas,Time Warner,WMECO,Berkshire Gas,Adelphia
151,LEICESTER,National Grid,NSTAR,Charter,National Grid,KeySpan; NSTAR,Charter
152,LENOX,National Grid,Berkshire Gas,Time Warner,National Grid; WMECO,Berkshire Gas,Adelphia
153,LEOMINSTER,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
154,LEVERETT,WMECO,None,None,WMECO,None,None
155,LEXINGTON,NSTAR,National Grid,Comcast; RCN; Verizon,NSTAR,KeySpan,Comcast; RCN
156,LEYDEN,WMECO,None,None,WMECO,None,None
157,LINCOLN,NSTAR,National Grid,Comcast; Verizon,NSTAR,KeySpan,Comcast
158,LITTLETON,Municipal,National Grid,Comcast; Verizon,Municipal,KeySpan,Comcast
159,LONGMEADOW,WMECO,Bay State,Comcast,WMECO,Bay State,Comcast
160,LOWELL,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
161,LUDLOW,WMECO,Bay State,Charter,WMECO,Bay State,Charter
162,LUNENBURG,UNITIL,National Grid; UNITIL,Comcast,UNITIL,KeySpan; UNITIL,Comcast
163,LYNN,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
164,LYNNFIELD,Municipal,National Grid,Comcast; RCN; Verizon,Municipal,KeySpan,Comcast
165,MALDEN,National Grid,National Grid,Comcast; RCN; Verizon,National Grid,KeySpan,Comcast
166,MANCHESTER,National Grid,National Grid,Comcast,National Grid,KeySpan,Adelphia
167,MANSFIELD,Municipal,Bay State,Comcast,Municipal,Bay State; KeySpan,Comcast
168,MARBLEHEAD,Municipal,National Grid,Comcast,Municipal,KeySpan,Comcast
